date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-05-25,306.0,323.06,304.92,323.03,32305889.0,10261281424.0,3795786270.0,0.008510987369159749
2021-05-26,320.5,324.01,316.0,319.0,19075117.0,6100319124.0,3795786270.0,0.005025340112208162
2021-05-27,318.17,326.23,314.22,318.18,16436312.0,5251052173.0,3795786270.0,0.004330146860455344
2021-05-28,320.12,321.08,314.39,316.9,13024503.0,4116488946.0,3795786270.0,0.0034313056830778833
2021-05-31,315.3,315.62,309.32,315.12,17768388.0,5542253080.0,3795786270.0,0.0046810823202645705
2021-06-01,316.3,317.3,310.38,315.7,16387574.0,5152812416.0,3795786270.0,0.0043173068329792974
2021-06-02,315.7,318.37,308.5,311.84,15653208.0,4890684590.0,3795786270.0,0.004123838089545542
2021-06-03,311.84,320.0,310.18,313.61,17917736.0,5652744412.0,3795890086.0,0.004720298953355943
2021-06-04,312.0,318.5,309.51,315.3,17528770.0,5497026750.0,3881531371.0,0.0045159418602055655
2021-06-07,316.36,317.43,308.87,312.91,18737019.0,5843427389.0,3881531371.0,0.004827223384046173
2021-06-08,313.0,313.5,291.99,297.95,31165284.0,9408595822.0,3881531371.0,0.00802912073127748
2021-06-09,297.0,300.0,291.55,296.5,17157668.0,5075838988.0,3881531371.0,0.004420334749369722
2021-06-10,297.01,305.5,295.5,303.05,15077251.0,4565221138.0,3881531371.0,0.0038843563426142406
2021-06-11,303.06,304.0,296.0,301.57,15912782.0,4783871683.0,3881531371.0,0.004099614425092328
2021-06-15,301.52,304.05,292.77,299.26,14516108.0,4323376155.0,3881531371.0,0.0037397889164194004
2021-06-16,299.26,299.26,289.22,292.32,14062999.0,4120477427.0,3881531371.0,0.003623054319506104
